years_experience,skills_match,country,job_type,education,company_size,num_applications,got_offer
6,7,Netherlands,hybrid,master,small,3,1
3,10,Poland,onsite,self-taught,medium,45,1
12,9,Germany,onsite,master,large,22,1
14,10,Netherlands,onsite,master,small,38,1
10,8,Poland,remote,self-taught,small,14,1
7,5,Spain,onsite,bachelor,small,27,0
12,3,Netherlands,remote,bachelor,large,42,0
4,0,Poland,remote,master,small,20,0
6,7,Spain,remote,self-taught,large,48,0
9,6,Spain,remote,bachelor,large,18,1
2,1,Spain,hybrid,phd,large,13,0
6,7,Spain,onsite,bootcamp,medium,42,1
10,4,UK,remote,bootcamp,medium,6,1
10,6,Spain,onsite,bootcamp,large,10,1
7,3,USA,remote,master,large,37,1
4,4,Netherlands,hybrid,bootcamp,medium,29,0
3,7,Poland,remote,bootcamp,medium,6,0
7,0,USA,onsite,phd,large,39,0
7,0,UK,onsite,bachelor,medium,11,0
2,3,Ukraine,hybrid,phd,small,48,0
5,2,Ukraine,onsite,master,large,25,0
4,9,USA,onsite,bootcamp,large,44,1
1,1,Lithuania,remote,bachelor,medium,44,0
7,2,Lithuania,onsite,bootcamp,small,30,0
11,10,Lithuania,remote,bootcamp,medium,20,1
13,10,Germany,hybrid,master,small,37,1
5,10,Lithuania,onsite,bootcamp,small,16,1
1,0,Poland,remote,self-taught,large,31,0
11,0,USA,onsite,bachelor,small,29,0
4,5,Poland,remote,bachelor,large,6,0
0,4,Netherlands,hybrid,self-taught,small,29,0
11,7,Lithuania,remote,master,large,32,1
9,1,UK,onsite,bootcamp,small,9,0
5,3,Germany,remote,bootcamp,medium,37,0
12,7,Netherlands,onsite,bachelor,small,23,1
11,5,UK,hybrid,master,medium,16,1
8,0,Germany,remote,master,small,18,0
0,3,Ukraine,onsite,master,small,19,0
10,0,Netherlands,onsite,bootcamp,large,44,0
10,1,Ukraine,onsite,master,small,2,0
14,4,USA,remote,self-taught,small,10,1
9,7,Poland,remote,phd,small,12,1
11,7,Spain,remote,master,medium,46,1
11,10,Poland,hybrid,phd,large,18,1
14,2,Lithuania,onsite,bootcamp,large,19,1
13,10,Ukraine,onsite,master,small,38,1
13,3,UK,hybrid,bachelor,small,37,1
14,9,Spain,hybrid,bootcamp,medium,27,1
13,10,Germany,remote,self-taught,small,48,1
2,5,Ukraine,remote,self-taught,large,14,0
11,10,USA,remote,phd,large,45,1
6,10,USA,remote,phd,medium,34,1
3,9,Ukraine,remote,bachelor,medium,2,1
8,2,Ukraine,remote,bachelor,large,44,0
2,1,Ukraine,hybrid,self-taught,medium,33,0
4,5,Germany,hybrid,master,small,19,0
2,10,Lithuania,hybrid,self-taught,small,27,1
6,4,Germany,onsite,self-taught,medium,48,0
4,9,Netherlands,onsite,bachelor,large,30,1
8,4,UK,remote,phd,medium,7,0
6,9,Ukraine,hybrid,bachelor,large,27,1
1,4,UK,onsite,bachelor,medium,21,0
3,9,Lithuania,onsite,bachelor,medium,7,1
8,4,Spain,hybrid,self-taught,medium,48,0
11,2,Germany,onsite,master,small,25,0
13,6,Lithuania,onsite,self-taught,small,38,1
1,5,UK,hybrid,bootcamp,large,18,0
9,3,Spain,onsite,bachelor,medium,33,0
8,1,Germany,hybrid,bachelor,small,33,0
9,8,USA,onsite,bootcamp,medium,32,1
4,0,Germany,hybrid,bachelor,large,25,0
1,10,Poland,onsite,bachelor,small,14,0
3,3,Germany,onsite,bachelor,large,38,0
11,0,Poland,hybrid,bootcamp,small,38,0
14,5,Spain,onsite,self-taught,medium,4,1
11,3,Germany,hybrid,bachelor,large,44,0
6,4,Spain,hybrid,master,small,18,0
11,4,Spain,onsite,bootcamp,small,10,0
12,8,UK,remote,phd,medium,35,1
7,0,Lithuania,onsite,bootcamp,large,35,0
14,1,Spain,remote,self-taught,large,40,0
2,5,Spain,remote,bootcamp,large,23,0
13,4,UK,onsite,phd,medium,25,1
0,10,UK,remote,master,small,1,1
3,6,Germany,hybrid,phd,small,18,0
1,2,UK,hybrid,bootcamp,large,15,0
7,2,Germany,remote,phd,small,25,0
3,9,USA,hybrid,bootcamp,large,32,1
1,1,UK,onsite,master,medium,20,0
13,2,Lithuania,hybrid,master,medium,17,1
5,9,Spain,remote,self-taught,medium,11,1
5,0,Lithuania,onsite,master,large,13,0
9,4,Poland,hybrid,bachelor,small,25,0
3,4,Ukraine,onsite,phd,medium,20,0
5,10,UK,remote,phd,large,25,1
12,6,Spain,hybrid,bootcamp,large,42,1
14,3,Lithuania,onsite,master,medium,45,1
1,2,UK,onsite,self-taught,medium,49,0
9,0,UK,hybrid,self-taught,medium,31,0
11,7,Ukraine,onsite,self-taught,small,1,1
1,2,USA,onsite,bachelor,small,16,0
9,1,USA,remote,master,large,48,0
13,10,Spain,remote,self-taught,medium,28,1
3,3,Poland,remote,bachelor,medium,21,1
13,2,USA,remote,phd,small,30,1
14,0,Ukraine,remote,bootcamp,medium,3,0
14,2,USA,remote,master,large,34,1
7,1,Poland,hybrid,master,medium,6,0
13,7,Lithuania,remote,phd,small,43,1
6,5,USA,onsite,master,large,29,0
11,8,Ukraine,hybrid,master,large,3,1
8,7,Germany,onsite,master,medium,33,1
13,9,Ukraine,remote,master,large,11,1
7,2,Netherlands,remote,bachelor,medium,45,0
4,4,Netherlands,onsite,bachelor,medium,5,0
12,6,USA,onsite,bootcamp,small,32,1
1,4,Lithuania,onsite,master,large,47,0
14,7,UK,hybrid,phd,medium,18,1
4,4,Lithuania,remote,self-taught,medium,47,0
7,0,Ukraine,onsite,bootcamp,medium,20,0
9,4,Spain,remote,self-taught,large,39,1
8,3,Germany,onsite,self-taught,large,49,1
11,5,Lithuania,remote,master,large,40,1
11,2,Poland,hybrid,phd,medium,28,1
11,10,Ukraine,remote,self-taught,large,13,1
12,4,Germany,onsite,self-taught,medium,26,0
8,1,Netherlands,remote,bootcamp,large,16,0
12,10,Ukraine,hybrid,phd,large,25,1
14,5,Germany,hybrid,phd,medium,10,1
12,5,Poland,remote,self-taught,large,29,1
0,4,USA,onsite,phd,medium,46,0
8,5,Poland,hybrid,bootcamp,large,38,0
6,10,Poland,hybrid,bootcamp,large,20,1
8,6,USA,remote,bootcamp,large,26,1
7,4,USA,hybrid,master,large,32,0
0,0,USA,hybrid,self-taught,small,39,0
11,7,USA,onsite,phd,medium,38,1
7,3,USA,onsite,bootcamp,small,49,0
7,8,Poland,onsite,self-taught,large,24,1
14,9,Spain,remote,self-taught,large,31,1
10,5,Spain,hybrid,master,medium,40,0
2,0,Ukraine,remote,phd,medium,12,0
0,2,Lithuania,hybrid,phd,medium,36,0
7,2,Spain,hybrid,bootcamp,medium,10,0
2,9,Netherlands,hybrid,bootcamp,large,6,0
2,3,Spain,onsite,self-taught,medium,7,0
0,5,Poland,remote,phd,small,31,1
10,6,USA,remote,phd,medium,27,0
4,9,Ukraine,hybrid,bootcamp,medium,8,0
9,3,USA,remote,bachelor,small,3,1
6,5,UK,onsite,self-taught,small,40,1
9,10,UK,remote,phd,small,47,1
8,0,UK,hybrid,master,small,21,0
11,7,Poland,onsite,master,medium,1,1
6,6,Netherlands,onsite,bachelor,small,45,0
8,10,Spain,hybrid,bootcamp,large,15,1
